venv) ai@ai-server:~/projects/igmi-write/igmi-write$ /home/ai/projects/igmi-write/igmi-write/venv/bin/python /home/ai/projects/igmi-write/igmi-write/main.py
2026-07-31 14:42:21 | INFO | Начало обработки. Модель: qwen3.6:35b
2026-07-31 14:42:21 | INFO | Начинаем пакетную обработку всех таблиц
2026-07-31 14:42:21 | INFO | Найдено 20 таблиц для обработки. Формируем единый запрос к LLM...
2026-07-31 14:49:57 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-07-31 14:49:57 | INFO | Таблица TBL_0 ('Таблица 1Средняя месячная и годовая температура воздуха, С'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_0 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_1 ('Таблица 2Абсолютный минимум температуры воздуха, С'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_1 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_2 ('Таблица 3Абсолютный максимум температуры воздуха, С'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_2 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_3 ('Таблица 4 Расчетные параметры температуры холодного периода года'): получено 8 значений, ожидалось 8
2026-07-31 14:49:57 | INFO | Таблица TBL_3 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_4 ('Таблица 5 Расчетные параметры температуры теплого периода года'): получено 6 значений, ожидалось 6
2026-07-31 14:49:57 | INFO | Таблица TBL_4 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_5 ('Таблица 6 Средняя месячная и годовая температура поверхности почвы, С'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_5 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_6 ('Таблица 7 Расчетные характеристики температуры воздуха холодного периода года (метеостанция <Заполнить>)'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_6 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_7 ('Таблица 8 Расчетные характеристики температуры воздуха теплого периода года (метеостанция <Заполнить>)'): получено 5 значений, ожидалось 5
2026-07-31 14:49:57 | INFO | Таблица TBL_7 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_8 ('Таблица 9* Среднемесячная и годовая температура почвы по вытяжным термометрам по метеостанции <Заполнить>'): получено 104 значений, ожидалось 104
2026-07-31 14:49:57 | INFO | Таблица TBL_8 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_9 ('Таблица 10 Месячное и годовое количество осадков, мм'): получено 15 значений, ожидалось 15
2026-07-31 14:49:57 | INFO | Таблица TBL_9 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_10 ('Таблица 11 Среднее месячное и годовое количество дней с осадками'): получено 27 значений, ожидалось 27
2026-07-31 14:49:57 | INFO | Таблица TBL_10 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_11 ('Таблица 12 Суточный максимум осадков (мм) различной обеспеченности'): получено 6 значений, ожидалось 6
2026-07-31 14:49:57 | INFO | Таблица TBL_11 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_12 ('Таблица 13 Средняя декадная высота снежного покрова по постоянной рейке, см'): получено 28 значений, ожидалось 26
2026-07-31 14:49:57 | WARNING | LLM вернула больше значений для TBL_12. Лишние отброшены.
2026-07-31 14:49:57 | INFO | Таблица TBL_12 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_13 ('Таблица 14 Средняя месячная и годовая скорость ветра, м/с'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_13 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_14 ('Таблица 15 Максимальная скорость ветра, м/с'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_14 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_15 ('Таблица 16 Максимальная скорость ветра с учетом порывов, м/с'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_15 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_16 ('Таблица 17 Среднее число дней с сильным ветром (более 15 м/с)'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_16 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_17 ('Таблица 18 Наибольшее число дней с сильным ветром (более 15 м/с)'): получено 13 значений, ожидалось 13
2026-07-31 14:49:57 | INFO | Таблица TBL_17 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_18 ('Таблица 19 Повторяемость (%) направления ветра и штилей'): получено 9 значений, ожидалось 9
2026-07-31 14:49:57 | INFO | Таблица TBL_18 заполнена
2026-07-31 14:49:57 | INFO | Таблица TBL_19 ('Таблица 20 Среднее число дней с обледенением'): получено 26 значений, ожидалось 26
2026-07-31 14:49:57 | INFO | Таблица TBL_19 заполнена
2026-07-31 14:49:57 | INFO | Обработка таблиц завершена. Успешно заполнено: 20/20
2026-07-31 14:49:57 | INFO | Начинаем пакетную обработку параграфов с <Заполнить>
2026-07-31 14:49:57 | INFO | Найдено 30 параграфов для обработки. Формируем единый запрос к LLM...
2026-07-31 14:53:16 | INFO | HTTP Request: POST http://127.0.0.1:11434/api/chat "HTTP/1.1 200 OK"
2026-07-31 14:53:16 | INFO | Заполнено PARA_0: 'Объект строительства (наименование) – <Заполнить>.' → 'Объект строительства (наименование) – Обустройство кустовых площадок №№ 8-бис, 17 Западно-Хоседаюского нефтяного месторождения ЦХП (блок №3) им. Д. Садецкого и увеличение пропускной способности нефтегазосборных трубопроводов.'
